signature,technique_id,technique_name,tactic,description
ET ACTIVEX Axis Media Controller ActiveX SetImage Method Remote Code Execution Attempt,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX Easewe FTP OCX ActiveX Control EaseWeFtp.ocx Remote Code Execution Attempt,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX HP Easy Printer Care Software XMLCacheMgr ActiveX Control Remote Code Execution Attempt,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX Magneto ICMP ActiveX ICMPSendEchoRequest Remote Code Execution Attempt,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX Novell iPrint ActiveX GetDriverSettings Remote Code Execution Attempt,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX Possible AOL SuperBuddy ActiveX Control Remote Code Execution Attempt,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX Possible Chilkat Software FTP2 ActiveX Component GetFile Access Remote Code Execution,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX Possible Chilkat Software FTP2 ActiveX Component GetFile Access Remote Code Execution 2,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX Possible Honeywell Tema Remote Installer ActiveX DownloadFromURL method Remote Code Execution,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX Possible HP ALM XGO.ocx ActiveX Control SetShapeNodeType method Remote Code Execution,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX Possible HP Easy Printer Care XMLCacheMgr Class ActiveX Control Remote Code Execution,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX Possible HP Easy Printer Care XMLCacheMgr Class ActiveX Control Remote Code Execution 2,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX Possible KeyHelp ActiveX LaunchTriPane Remote Code Execution Vulnerability,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX Possible KeyHelp ActiveX LaunchTriPane Remote Code Execution Vulnerability 2,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX Possible McAfee Virtual Technician MVT.MVTControl.6300 ActiveX Control GetObject method Remote Code Execution,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX Possible McAfee Virtual Technician MVT.MVTControl.6300 ActiveX Control GetObject method Remote Code Execution 2,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX Possible NOS Microsystems Adobe Reader/Acrobat getPlus Get_atlcomHelper ActiveX Control Multiple Stack Overflows Remote Code Execution Attempt,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX Possible Oracle AutoVue ActiveX SetMarkupMode Method Access Remote Code Execution,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX Possible Oracle Hyperion Financial Management TList6 ActiveX Control Remote Code Execution,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX Possible Oracle Hyperion Financial Management TList6 ActiveX Control Remote Code Execution 2,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX Quest InTrust Annotation Objects ActiveX Control Add Access Potential Remote Code Execution,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX Quest InTrust Annotation Objects ActiveX Control Add Access Potential Remote Code Execution 2,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX Trend Micro Internet Security Pro 2010 ActiveX extSetOwner Remote Code Execution Attempt,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
ET ACTIVEX WMITools ActiveX Remote Code Execution,T1190,Exploit Public Facing Application,Initial Access,Mapped from ET Open rule metadata.
